symbol,refseq,tag,ensembl_id,gene_id
TP73,NM_005427.4,MANE Select,ENST00000378295.9,7161
CCDC27,NM_152492.3,MANE Select,ENST00000294600.7,148870
SMIM1,NM_001288583.2,MANE Select,ENST00000642557.4,388588
LRRC47,NM_020710.3,MANE Select,ENST00000378251.3,57470
CEP104,NM_014704.4,MANE Select,ENST00000378230.8,9731
DFFB,NM_004402.4,MANE Select,ENST00000378209.8,1677
C1orf174,NM_207356.3,MANE Select,ENST00000361605.4,339448
AJAP1,NM_018836.4,MANE Select,ENST00000378191.5,55966
NPHP4,NM_015102.5,MANE Select,ENST00000378156.9,261734
KCNAB2,NM_001199862.2,MANE Select,ENST00000378083.8,8514
CHD5,NM_015557.3,MANE Select,ENST00000262450.8,26038
RPL22,NM_000983.4,MANE Select,ENST00000234875.9,6146
RNF207,NM_207396.3,MANE Select,ENST00000377939.5,388591
ICMT,NM_012405.4,MANE Select,ENST00000343813.10,23463
HES3,NM_001024598.4,MANE Select,ENST00000377898.4,390992
GPR153,NM_207370.4,MANE Select,ENST00000377893.3,387509
ACOT7,NM_007274.4,MANE Select,ENST00000361521.9,11332
HES2,NM_019089.5,MANE Select,ENST00000377834.8,54626
ESPN,NM_031475.3,MANE Select,ENST00000645284.1,83715
TNFRSF25,NM_003790.3,MANE Select,ENST00000356876.8,8718
PLEKHG5,NM_020631.6,MANE Select,ENST00000377728.8,57449
NOL9,NM_024654.5,MANE Select,ENST00000377705.6,79707
TAS1R1,NM_138697.4,MANE Select,ENST00000333172.11,80835
ZBTB48,NM_005341.4,MANE Select,ENST00000377674.9,3104
KLHL21,NM_014851.4,MANE Select,ENST00000377658.8,9903
PHF13,NM_153812.3,MANE Select,ENST00000377648.5,148479
THAP3,NM_001195753.2,MANE Select,ENST00000054650.9,90326
DNAJC11,NM_018198.4,MANE Select,ENST00000377577.10,55735
CAMTA1,NM_015215.4,MANE Select,ENST00000303635.12,23261
VAMP3,NM_004781.4,MANE Select,ENST00000054666.11,9341
PER3,NM_001377275.1,MANE Select,ENST00000377532.8,8863
UTS2,NM_006786.4,MANE Select,ENST00000361696.10,10911
TNFRSF9,NM_001561.6,MANE Select,ENST00000377507.8,3604
PARK7,NM_007262.5,MANE Select,ENST00000338639.10,11315
ERRFI1,NM_018948.4,MANE Select,ENST00000377482.10,54206
SLC45A1,NM_001080397.3,MANE Select,ENST00000471889.7,50651
RERE,NM_001042681.2,MANE Select,ENST00000400908.7,473
ENO1,NM_001428.5,MANE Select,ENST00000234590.10,2023
CA6,NM_001215.4,MANE Select,ENST00000377443.7,765
SLC2A7,NM_207420.3,MANE Select,ENST00000400906.2,155184
SLC2A5,NM_003039.3,MANE Select,ENST00000377424.9,6518
GPR157,NM_024980.5,MANE Select,ENST00000377411.5,80045
H6PD,NM_004285.4,MANE Select,ENST00000377403.7,9563
SPSB1,NM_025106.4,MANE Select,ENST00000328089.11,80176
SLC25A33,NM_032315.3,MANE Select,ENST00000302692.7,84275
TMEM201,NM_001130924.3,MANE Select,ENST00000340381.11,199953
PIK3CD,NM_005026.5,MANE Select,ENST00000377346.9,5293
CLSTN1,NM_001009566.3,MANE Select,ENST00000377298.9,22883
CTNNBIP1,NM_020248.3,MANE Select,ENST00000377263.6,56998
LZIC,NM_032368.5,MANE Select,ENST00000377223.6,84328
NMNAT1,NM_022787.4,MANE Select,ENST00000377205.6,64802
RBP7,NM_052960.3,MANE Select,ENST00000294435.8,116362
UBE4B,NM_001105562.3,MANE Select,ENST00000343090.11,10277
KIF1B,NM_001365951.3,MANE Select,ENST00000676179.1,23095
PGD,NM_002631.4,MANE Select,ENST00000270776.13,5226
CENPS,NM_199294.3,MANE Select,ENST00000309048.8,378708
CORT,NM_001302.5,MANE Select,ENST00000377049.4,1325
DFFA,NM_004401.3,MANE Select,ENST00000377038.8,1676
PEX14,NM_004565.3,MANE Select,ENST00000356607.9,5195
CASZ1,NM_001079843.3,MANE Select,ENST00000377022.8,54897
C1orf127,NM_001170754.2,MANE Select,ENST00000377004.9,148345
TARDBP,NM_007375.4,MANE Select,ENST00000240185.8,23435
MASP2,NM_006610.4,MANE Select,ENST00000400897.8,10747
SRM,NM_003132.3,MANE Select,ENST00000376957.7,6723
EXOSC10,NM_001001998.3,MANE Select,ENST00000376936.9,5394
MTOR,NM_004958.4,MANE Select,ENST00000361445.9,2475
ANGPTL7,NM_021146.4,MANE Select,ENST00000376819.4,10218
UBIAD1,NM_013319.3,MANE Select,ENST00000376810.6,29914
DISP3,NM_020780.2,MANE Select,ENST00000294484.7,57540
FBXO2,NM_012168.6,MANE Select,ENST00000354287.5,26232
FBXO44,NM_033182.7,MANE Select,ENST00000251547.10,93611
FBXO6,NM_018438.6,MANE Select,ENST00000376753.9,26270
MAD2L2,NM_006341.4,MANE Select,ENST00000376692.9,10459
DRAXIN,NM_198545.4,MANE Select,ENST00000294485.6,374946
AGTRAP,NM_020350.5,MANE Select,ENST00000314340.10,57085
C1orf167,NM_001010881.2,MANE Select,ENST00000688073.1,284498
MTHFR,NM_005957.5,MANE Select,ENST00000376590.9,4524
CLCN6,NM_001286.5,MANE Select,ENST00000346436.11,1185
NPPA,NM_006172.4,MANE Select,ENST00000376480.7,4878
NPPB,NM_002521.3,MANE Select,ENST00000376468.4,4879
KIAA2013,NM_138346.3,MANE Select,ENST00000376572.8,90231
PLOD1,NM_000302.4,MANE Select,ENST00000196061.5,5351
MFN2,NM_014874.4,MANE Select,ENST00000235329.10,9927
MIIP,NM_021933.4,MANE Select,ENST00000235332.6,60672
TNFRSF8,NM_001243.5,MANE Select,ENST00000263932.7,943
TNFRSF1B,NM_001066.3,MANE Select,ENST00000376259.7,7133
VPS13D,NM_015378.4,MANE Select,ENST00000620676.6,55187
DHRS3,NM_004753.7,MANE Select,ENST00000616661.5,9249
AADACL4,NM_001013630.2,MANE Select,ENST00000376221.2,343066
AADACL3,NM_001103170.3,MANE Select,ENST00000359318.8,126767
CFAP107,NM_152290.4,MANE Select,ENST00000614859.5,93190
PRAMEF12,NM_001080830.5,MANE Select,ENST00000357726.5,390999
PRAMEF1,NM_023013.4,MANE Select,ENST00000332296.7,65121
PRAMEF11,NM_001146344.3,MANE Select,ENST00000619922.1,440560
HNRNPCL1,NM_001013631.3,MANE Select,ENST00000317869.7,343069
PRAMEF2,NM_023014.1,MANE Select,ENST00000240189.2,65122
PRAMEF4,NM_001009611.4,MANE Select,ENST00000235349.6,400735
PRAMEF10,NM_001039361.4,MANE Select,ENST00000235347.4,343071
PRAMEF7,NM_001012277.5,MANE Select,ENST00000697200.1,441871
PRAMEF6,NM_001010889.2,MANE Select,ENST00000376189.5,440561
PRAMEF27,NM_001300891.2,MANE Select,ENST00000436041.6,101929983
HNRNPCL3,NM_001382358.1,MANE Select,ENST00000617807.3,649330
PRAMEF25,NM_001310134.3,MANE Select,ENST00000619661.3,441873
HNRNPCL2,NM_001136561.3,MANE Select,ENST00000621994.3,440563
PRAMEF26,NM_001306072.3,MANE Select,ENST00000624207.2,645359
HNRNPCL4,NM_001302551.2,MANE Select,ENST00000323770.8,101060301
PRAMEF9,NM_001010890.3,MANE Select,ENST00000415919.3,343070
PRAMEF13,NM_001291380.1,MANE Select,ENST00000625019.3,400736
PRAMEF18,NM_001099850.2,MANE Select,ENST00000624297.3,391003
PRAMEF5,NM_001013407.5,MANE Select,ENST00000622421.3,343068
PRAMEF8,NM_001012276.3,MANE Select,ENST00000357367.7,391002
PRAMEF33,NM_001291381.1,MANE Select,ENST00000437300.2,645382
PRAMEF15,NM_001098376.3,MANE Select,ENST00000376152.2,653619
PRAMEF14,NM_001024661.2,MANE Select,ENST00000334600.7,729528
PRAMEF19,NM_001099790.5,MANE Select,ENST00000376101.4,645414
PRAMEF17,NM_001099851.3,MANE Select,ENST00000376098.4,391004
PRAMEF20,NM_001099852.2,MANE Select,ENST00000602960.2,645425
LRRC38,NM_001010847.2,MANE Select,ENST00000376085.4,126755
PDPN,NM_006474.5,MANE Select,ENST00000621990.5,10630
PRDM2,NM_001393986.1,MANE Select,ENST00000311066.10,7799
KAZN,NM_201628.3,MANE Select,ENST00000376030.7,23254
TMEM51,NM_001136218.2,MANE Select,ENST00000376008.3,55092
FHAD1,NM_001391957.1,MANE Select,ENST00000688493.1,114827
EFHD2,NM_024329.6,MANE Select,ENST00000375980.9,79180
CTRC,NM_007272.3,MANE Select,ENST00000375949.5,11330
CELA2A,NM_033440.3,MANE Select,ENST00000359621.5,63036
CELA2B,NM_015849.3,MANE Select,ENST00000375910.8,51032
CASP9,NM_001229.5,MANE Select,ENST00000333868.10,842
DNAJC16,NM_015291.4,MANE Select,ENST00000375847.8,23341
AGMAT,NM_024758.5,MANE Select,ENST00000375826.4,79814
DDI2,NM_032341.5,MANE Select,ENST00000480945.6,84301
RSC1A1,NM_006511.3,MANE Select,ENST00000345034.2,6248
PLEKHM2,NM_015164.4,MANE Select,ENST00000375799.8,23207
SLC25A34,NM_207348.3,MANE Select,ENST00000294454.6,284723
TMEM82,NM_001013641.3,MANE Select,ENST00000375782.2,388595
FBLIM1,NM_017556.4,MANE Select,ENST00000375766.8,54751
UQCRHL,NM_001089591.2,MANE Select,ENST00000696689.1,440567
SPEN,NM_015001.3,MANE Select,ENST00000375759.8,23013
ZBTB17,NM_003443.3,MANE Select,ENST00000375743.9,7709
SRARP,NM_178840.4,MANE Select,ENST00000329454.2,149563
HSPB7,NM_014424.5,MANE Select,ENST00000311890.14,27129
CLCNKA,NM_004070.4,MANE Select,ENST00000331433.5,1187
CLCNKB,NM_000085.5,MANE Select,ENST00000375679.9,1188
FAM131C,NM_182623.3,MANE Select,ENST00000375662.5,348487
EPHA2,NM_004431.5,MANE Select,ENST00000358432.8,1969
ARHGEF19,NM_153213.5,MANE Select,ENST00000270747.8,128272
CPLANE2,NM_030907.4,MANE Select,ENST00000375599.8,79363
FBXO42,NM_018994.3,MANE Select,ENST00000375592.8,54455
SZRD1,NM_001114600.3,MANE Select,ENST00000401088.9,26099
SPATA21,NM_198546.1,MANE Select,ENST00000335496.5,374955
NECAP2,NM_018090.5,MANE Select,ENST00000337132.10,55707
CROCC,NM_014675.5,MANE Select,ENST00000375541.10,9696
MFAP2,NM_002403.4,MANE Select,ENST00000375535.4,4237
ATP13A2,NM_022089.4,MANE Select,ENST00000326735.13,23400
SDHB,NM_003000.3,MANE Select,ENST00000375499.8,6390
PADI2,NM_007365.3,MANE Select,ENST00000375486.9,11240
PADI1,NM_013358.3,MANE Select,ENST00000375471.5,29943
PADI3,NM_016233.2,MANE Select,ENST00000375460.3,51702
PADI4,NM_012387.3,MANE Select,ENST00000375448.4,23569
PADI6,NM_207421.4,MANE Select,ENST00000619609.1,353238
RCC2,NM_018715.4,MANE Select,ENST00000375436.9,55920
ARHGEF10L,NM_018125.4,MANE Select,ENST00000361221.8,55160
ACTL8,NM_030812.3,MANE Select,ENST00000375406.2,81569
IGSF21,NM_032880.5,MANE Select,ENST00000251296.4,84966
KLHDC7A,NM_152375.3,MANE Select,ENST00000400664.3,127707
PAX7,NM_001135254.2,MANE Select,ENST00000420770.7,5081
TAS1R2,NM_152232.6,MANE Select,ENST00000375371.4,80834
ALDH4A1,NM_003748.4,MANE Select,ENST00000375341.8,8659
IFFO2,NM_001136265.2,MANE Select,ENST00000455833.7,126917
UBR4,NM_020765.3,MANE Select,ENST00000375254.8,23352
EMC1,NM_015047.3,MANE Select,ENST00000477853.6,23065
MRTO4,NM_016183.4,MANE Select,ENST00000330263.5,51154
AKR7A3,NM_012067.3,MANE Select,ENST00000361640.5,22977
AKR7A2,NM_003689.4,MANE Select,ENST00000235835.8,8574
SLC66A1,NM_001040125.2,MANE Select,ENST00000375153.8,54896
CAPZB,NM_004930.5,MANE Select,ENST00000264202.8,832
MICOS10,NM_001032363.4,MANE Select,ENST00000322753.7,440574
NBL1,NM_005380.8,MANE Select,ENST00000375136.8,4681
HTR6,NM_000871.3,MANE Select,ENST00000289753.2,3362
TMCO4,NM_181719.7,MANE Select,ENST00000294543.11,255104
RNF186,NM_019062.2,MANE Select,ENST00000375121.4,54546
OTUD3,NM_015207.2,MANE Select,ENST00000375120.4,23252
PLA2G2E,NM_014589.3,MANE Select,ENST00000375116.3,30814
PLA2G2A,NM_001395463.1,MANE Select,ENST00000482011.3,5320
PLA2G5,NM_000929.3,MANE Select,ENST00000375108.4,5322
PLA2G2D,NM_012400.4,MANE Select,ENST00000375105.8,26279
PLA2G2F,NM_022819.4,MANE Select,ENST00000375102.4,64600
PLA2G2C,NM_001367969.2,MANE Select,ENST00000679259.1,391013
UBXN10,NM_152376.5,MANE Select,ENST00000375099.4,127733
VWA5B1,NM_001039500.3,MANE Select,ENST00000289815.13,127731
CAMK2N1,NM_018584.6,MANE Select,ENST00000375078.4,55450
MUL1,NM_024544.3,MANE Select,ENST00000264198.5,79594
FAM43B,NM_207334.3,MANE Select,ENST00000332947.6,163933
CDA,NM_001785.3,MANE Select,ENST00000375071.4,978
PINK1,NM_032409.3,MANE Select,ENST00000321556.5,65018
DDOST,NM_005216.5,MANE Select,ENST00000602624.7,1650
KIF17,NM_001122819.3,MANE Select,ENST00000400463.8,57576
SH2D5,NM_001103161.2,MANE Select,ENST00000444387.7,400745
HP1BP3,NM_001372052.1,MANE Select,ENST00000438032.6,50809
EIF4G3,NM_001391906.1,MANE Select,ENST00000602326.6,8672
ECE1,NM_001397.3,MANE Select,ENST00000374893.11,1889
NBPF3,NM_032264.6,MANE Select,ENST00000318249.10,84224
ALPL,NM_000478.6,MANE Select,ENST00000374840.8,249
RAP1GAP,NM_002885.4,MANE Select,ENST00000374765.9,5909
USP48,NM_032236.8,MANE Select,ENST00000308271.14,84196
LDLRAD2,NM_001013693.3,MANE Select,ENST00000344642.7,401944
HSPG2,NM_005529.7,MANE Select,ENST00000374695.8,3339
CELA3B,NM_007352.4,MANE Select,ENST00000337107.11,23436
CELA3A,NM_005747.5,MANE Select,ENST00000290122.8,10136
CDC42,NM_001791.4,MANE Select,ENST00000656825.1,998
WNT4,NM_030761.5,MANE Select,ENST00000290167.11,54361
ZBTB40,NM_014870.4,MANE Select,ENST00000375647.5,9923
EPHA8,NM_020526.5,MANE Select,ENST00000166244.8,2046
C1QA,NM_015991.4,MANE Select,ENST00000374642.8,712
C1QC,NM_172369.5,MANE Select,ENST00000374640.9,714
C1QB,NM_001378156.1,MANE Select,ENST00000509305.6,713
EPHB2,NM_017449.5,MANE Select,ENST00000374630.8,2048
LACTBL1,NM_001289974.2,MANE Select,ENST00000426928.7,646262
TEX46,NM_001242521.2,MANE Select,ENST00000566855.4,729059
KDM1A,NM_001009999.3,MANE Select,ENST00000400181.9,23028
HTR1D,NM_000864.5,MANE Select,ENST00000374619.2,3352
HNRNPR,NM_005826.5,MANE Select,ENST00000302271.11,10236
ZNF436,NM_001077195.2,MANE Select,ENST00000314011.9,80818
TCEA3,NM_003196.3,MANE Select,ENST00000450454.7,6920
ASAP3,NM_017707.4,MANE Select,ENST00000336689.8,55616
E2F2,NM_004091.4,MANE Select,ENST00000361729.3,1870
ID3,NM_002167.5,MANE Select,ENST00000374561.6,3399
RPL11,NM_000975.5,MANE Select,ENST00000643754.2,6135
ELOA,NM_003198.3,MANE Select,ENST00000613537.5,6924
PITHD1,NM_020362.5,MANE Select,ENST00000246151.9,57095
LYPLA2,NM_007260.3,MANE Select,ENST00000374514.8,11313
GALE,NM_001008216.2,MANE Select,ENST00000617979.5,2582
HMGCL,NM_000191.3,MANE Select,ENST00000374490.8,3155
FUCA1,NM_000147.5,MANE Select,ENST00000374479.4,2517
CNR2,NM_001841.3,MANE Select,ENST00000374472.5,1269
PNRC2,NM_017761.4,MANE Select,ENST00000334351.8,55629
SRSF10,NM_054016.4,MANE Select,ENST00000492112.3,10772
MYOM3,NM_152372.4,MANE Select,ENST00000374434.4,127294
IL22RA1,NM_021258.4,MANE Select,ENST00000270800.2,58985
IFNLR1,NM_170743.4,MANE Select,ENST00000327535.6,163702
GRHL3,NM_198173.3,MANE Select,ENST00000361548.9,57822
STPG1,NM_001199013.2,MANE Select,ENST00000337248.9,90529
NIPAL3,NM_020448.5,MANE Select,ENST00000374399.9,57185
RCAN3,NM_013441.4,MANE Select,ENST00000374395.9,11123
NCMAP,NM_001010980.5,MANE Select,ENST00000374392.3,400746
SRRM1,NM_005839.4,MANE Select,ENST00000323848.14,10250
CLIC4,NM_013943.3,MANE Select,ENST00000374379.9,25932
RUNX3,NM_004350.3,MANE Select,ENST00000308873.11,864
SYF2,NM_015484.5,MANE Select,ENST00000236273.9,25949
RSRP1,NM_020317.5,MANE Select,ENST00000243189.12,57035
RHD,NM_016124.6,MANE Select,ENST00000328664.9,6007
TMEM50A,NM_014313.4,MANE Select,ENST00000374358.5,23585
RHCE,NM_020485.8,MANE Select,ENST00000294413.13,6006
MACO1,NM_018202.6,MANE Select,ENST00000374343.5,55219
LDLRAP1,NM_015627.3,MANE Select,ENST00000374338.5,26119
MAN1C1,NM_020379.4,MANE Select,ENST00000374332.9,57134
SELENON,NM_020451.3,MANE Select,ENST00000361547.7,57190
MTFR1L,NM_001099625.2,MANE Select,ENST00000374303.7,56181
AUNIP,NM_024037.3,MANE Select,ENST00000374298.4,79000
PAQR7,NM_178422.6,MANE Select,ENST00000675840.1,164091
STMN1,NM_005563.4,MANE Select,ENST00000455785.7,3925
PAFAH2,NM_000437.4,MANE Select,ENST00000374282.8,5051
EXTL1,NM_004455.3,MANE Select,ENST00000374280.4,2134
SLC30A2,NM_001004434.3,MANE Select,ENST00000374276.4,7780
TRIM63,NM_032588.4,MANE Select,ENST00000374272.4,84676
PDIK1L,NM_152835.5,MANE Select,ENST00000374269.2,149420
FAM110D,NM_024869.3,MANE Select,ENST00000374268.5,79927
C1orf232,NM_001364669.2,MANE Select,ENST00000634842.2,110806296
ZNF593OS,NM_001395468.1,MANE Select,ENST00000433939.7,118568799
ZNF593,NM_015871.5,MANE Select,ENST00000374266.7,51042
CNKSR1,NM_006314.3,MANE Select,ENST00000361530.11,10256
CATSPER4,NM_198137.2,MANE Select,ENST00000456354.7,378807
CEP85,NM_001319944.2,MANE Select,ENST00000451429.8,64793
SH3BGRL3,NM_031286.4,MANE Select,ENST00000270792.10,83442
UBXN11,NM_001389556.1,MANE Select,ENST00000374222.6,91544
CD52,NM_001803.3,MANE Select,ENST00000374213.3,1043
CRYBG2,NM_001039775.4,MANE Select,ENST00000308182.10,55057
ZNF683,NM_001114759.3,MANE Select,ENST00000349618.8,257101
LIN28A,NM_024674.6,MANE Select,ENST00000326279.11,79727
DHDDS,NM_205861.3,MANE Select,ENST00000236342.12,79947
HMGN2,NM_005517.4,MANE Select,ENST00000361427.6,3151
RPS6KA1,NM_002953.4,MANE Select,ENST00000374168.7,6195
ARID1A,NM_006015.6,MANE Select,ENST00000324856.13,8289
PIGV,NM_017837.4,MANE Select,ENST00000674202.1,55650
ZDHHC18,NM_032283.3,MANE Select,ENST00000374142.9,84243
SFN,NM_006142.5,MANE Select,ENST00000339276.6,2810
GPN2,NM_018066.4,MANE Select,ENST00000374135.9,54707
GPATCH3,NM_022078.3,MANE Select,ENST00000361720.10,63906
NUDC,NM_006600.4,MANE Select,ENST00000321265.10,10726
NR0B2,NM_021969.3,MANE Select,ENST00000254227.4,8431
KDF1,NM_152365.3,MANE Select,ENST00000320567.6,126695
TRNP1,NM_001013642.3,MANE Select,ENST00000522111.3,388610
TENT5B,NM_052943.4,MANE Select,ENST00000289166.6,115572
SLC9A1,NM_003047.5,MANE Select,ENST00000263980.8,6548
WDTC1,NM_001276252.2,MANE Select,ENST00000319394.8,23038
TMEM222,NM_032125.3,MANE Select,ENST00000374076.9,84065
SYTL1,NM_001193308.2,MANE Select,ENST00000616558.5,84958
MAP3K6,NM_004672.5,MANE Select,ENST00000357582.3,9064
FCN3,NM_003665.4,MANE Select,ENST00000270879.9,8547
CD164L2,NM_001330448.1,MANE Select,ENST00000374030.3,388611
GPR3,NM_005281.4,MANE Select,ENST00000374024.4,2827
WASF2,NM_006990.5,MANE Select,ENST00000618852.5,10163
AHDC1,NM_001371928.1,MANE Select,ENST00000673934.1,27245
FGR,NM_005248.3,MANE Select,ENST00000374005.8,2268
IFI6,NM_002038.4,MANE Select,ENST00000361157.11,2537
FAM76A,NM_152660.3,MANE Select,ENST00000373954.11,199870
STX12,NM_177424.3,MANE Select,ENST00000373943.9,23673
PPP1R8,NM_014110.5,MANE Select,ENST00000311772.10,5511
THEMIS2,NM_001105556.3,MANE Select,ENST00000373921.8,9473
RPA2,NM_002946.5,MANE Select,ENST00000373912.8,6118
SMPDL3B,NM_014474.4,MANE Select,ENST00000373894.8,27293
XKR8,NM_018053.4,MANE Select,ENST00000373884.6,55113
EYA3,NM_001990.4,MANE Select,ENST00000373871.8,2140
PTAFR,NM_000952.5,MANE Select,ENST00000373857.8,5724
DNAJC8,NM_014280.3,MANE Select,ENST00000263697.6,22826
ATP5IF1,NM_016311.5,MANE Select,ENST00000335514.10,93974
SESN2,NM_031459.5,MANE Select,ENST00000253063.4,83667
MED18,NM_017638.3,MANE Select,ENST00000373842.9,54797
PHACTR4,NM_001048183.3,MANE Select,ENST00000373839.8,65979
RCC1,NM_001381865.2,MANE Select,ENST00000683442.1,1104
TRNAU1AP,NM_017846.5,MANE Select,ENST00000373830.4,54952
RAB42,NM_001193532.3,MANE Select,ENST00000465518.3,115273
TAF12,NM_005644.4,MANE Select,ENST00000373824.9,6883
GMEB1,NM_001319674.2,MANE Select,ENST00000373816.6,10691
YTHDF2,NM_016258.3,MANE Select,ENST00000373812.8,51441
OPRD1,NM_000911.4,MANE Select,ENST00000234961.7,4985
EPB41,NM_001376013.1,MANE Select,ENST00000343067.9,2035
TMEM200B,NM_001003682.4,MANE Select,ENST00000521452.2,399474
SRSF4,NM_005626.5,MANE Select,ENST00000373795.7,6429
MECR,NM_016011.5,MANE Select,ENST00000263702.11,51102
PTPRU,NM_133178.4,MANE Select,ENST00000373779.8,10076
MATN1,NM_002379.3,MANE Select,ENST00000373765.5,4146
LAPTM5,NM_006762.3,MANE Select,ENST00000294507.4,7805
SDC3,NM_014654.4,MANE Select,ENST00000339394.7,9672
PUM1,NM_001020658.2,MANE Select,ENST00000426105.7,9698
NKAIN1,NM_024522.3,MANE Select,ENST00000373736.7,79570
SNRNP40,NM_004814.3,MANE Select,ENST00000263694.9,9410
ZCCHC17,NM_016505.4,MANE Select,ENST00000344147.10,51538
FABP3,NM_004102.5,MANE Select,ENST00000373713.7,2170
SERINC2,NM_178865.5,MANE Select,ENST00000373709.8,347735
TINAGL1,NM_022164.3,MANE Select,ENST00000271064.12,64129
HCRTR1,NM_001525.3,MANE Select,ENST00000403528.7,3061
PEF1,NM_012392.4,MANE Select,ENST00000373703.5,553115
COL16A1,NM_001856.4,MANE Select,ENST00000373672.8,1307
ADGRB2,NM_001364857.2,MANE Select,ENST00000373658.8,576
SPOCD1,NM_144569.7,MANE Select,ENST00000360482.7,90853
PTP4A2,NM_080391.4,MANE Select,ENST00000647444.2,8073
